trainnumber,occupancy,weekday,from,to
S11757,0,1,http://irail.be/stations/NMBS/008821311,http://irail.be/stations/NMBS/008821337
S11757,0,1,http://irail.be/stations/NMBS/008821337,http://irail.be/stations/NMBS/008821246
S11757,0,1,http://irail.be/stations/NMBS/008821246,http://irail.be/stations/NMBS/008821147
S11757,0,1,http://irail.be/stations/NMBS/008821147,http://irail.be/stations/NMBS/008821121

IC2809,0,1,http://irail.be/stations/NMBS/008892007,http://irail.be/stations/NMBS/008814001
IC2809,0,1,http://irail.be/stations/NMBS/008814001,http://irail.be/stations/NMBS/008813003
IC2809,0,1,http://irail.be/stations/NMBS/008813003,http://irail.be/stations/NMBS/008812005

IC3129,2,1,http://irail.be/stations/NMBS/008821006,http://irail.be/stations/NMBS/008821121
IC3129,2,1,http://irail.be/stations/NMBS/008821121,http://irail.be/stations/NMBS/008821238
IC3129,2,1,http://irail.be/stations/NMBS/008821238,http://irail.be/stations/NMBS/008822343
IC3129,2,1,http://irail.be/stations/NMBS/008822343,http://irail.be/stations/NMBS/008822004
IC3129,2,1,http://irail.be/stations/NMBS/008822004,http://irail.be/stations/NMBS/008811189
IC3129,2,1,http://irail.be/stations/NMBS/008811189,http://irail.be/stations/NMBS/008812005
IC3129,2,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008813003
IC3129,2,1,http://irail.be/stations/NMBS/008813003,http://irail.be/stations/NMBS/008814001

IC1529,2,1,http://irail.be/stations/NMBS/008833001,http://irail.be/stations/NMBS/008812005
IC1529,2,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008813003

IC415,1,1,http://irail.be/stations/NMBS/008813003,http://irail.be/stations/NMBS/008812005

IC415,2,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008833001

IC1506,1,1,http://irail.be/stations/NMBS/008892007,http://irail.be/stations/NMBS/008814001

IC522,1,1,http://irail.be/stations/NMBS/008813003,http://irail.be/stations/NMBS/008812005
IC522,1,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008833001

S102079,1,1,http://irail.be/stations/NMBS/008812211,http://irail.be/stations/NMBS/008812047
S102079,1,1,http://irail.be/stations/NMBS/008812047,http://irail.be/stations/NMBS/008812021
S102079,1,1,http://irail.be/stations/NMBS/008812021,http://irail.be/stations/NMBS/008812005

P8305,1,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008833209
P8305,1,1,http://irail.be/stations/NMBS/008833209,http://irail.be/stations/NMBS/008831401

IC707,1,1,http://irail.be/stations/NMBS/008894201,http://irail.be/stations/NMBS/008894151
IC707,1,1,http://irail.be/stations/NMBS/008894151,http://irail.be/stations/NMBS/008893120
IC707,1,1,http://irail.be/stations/NMBS/008893120,http://irail.be/stations/NMBS/008892007

IC1829,1,1,http://irail.be/stations/NMBS/008894201,http://irail.be/stations/NMBS/008893120
IC1829,1,1,http://irail.be/stations/NMBS/008893120,http://irail.be/stations/NMBS/008892007

P7009,0,1,http://irail.be/stations/NMBS/008896008,http://irail.be/stations/NMBS/008896115
P7009,0,1,http://irail.be/stations/NMBS/008896115,http://irail.be/stations/NMBS/008896149
P7009,0,1,http://irail.be/stations/NMBS/008896149,http://irail.be/stations/NMBS/008892007

IC2628,1,1,http://irail.be/stations/NMBS/008831112,http://irail.be/stations/NMBS/008831005
IC2628,1,1,http://irail.be/stations/NMBS/008831005,http://irail.be/stations/NMBS/008831401
IC2628,1,1,http://irail.be/stations/NMBS/008831401,http://irail.be/stations/NMBS/008833209
IC2628,1,1,http://irail.be/stations/NMBS/008833209,http://irail.be/stations/NMBS/008833001

P7008,1,1,http://irail.be/stations/NMBS/008896149,http://irail.be/stations/NMBS/008892007

IC716,1,1,http://irail.be/stations/NMBS/008892007,http://irail.be/stations/NMBS/008896149

IC530,2,1,http://irail.be/stations/NMBS/008833001,http://irail.be/stations/NMBS/008812005
IC530,2,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008813003

IC1534,0,1,http://irail.be/stations/NMBS/008833001,http://irail.be/stations/NMBS/008812005
IC1534,0,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008813003

IC2029,2,1,http://irail.be/stations/NMBS/008822004,http://irail.be/stations/NMBS/008812005
IC2029,2,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008813003

IC1729,2,1,http://irail.be/stations/NMBS/008833001,http://irail.be/stations/NMBS/008812005
IC1729,2,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008813003

P7303,2,1,http://irail.be/stations/NMBS/008833001,http://irail.be/stations/NMBS/008812005

IC2028,1,1,http://irail.be/stations/NMBS/008822004,http://irail.be/stations/NMBS/008812005
IC2028,1,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008813003

IC407,2,1,http://irail.be/stations/NMBS/008892007,http://irail.be/stations/NMBS/008814001
IC407,2,1,http://irail.be/stations/NMBS/008814001,http://irail.be/stations/NMBS/008813003
IC407,2,1,http://irail.be/stations/NMBS/008813003,http://irail.be/stations/NMBS/008812005

IC2807,2,1,http://irail.be/stations/NMBS/008892007,http://irail.be/stations/NMBS/008814001
IC2807,2,1,http://irail.be/stations/NMBS/008814001,http://irail.be/stations/NMBS/008813003
IC2807,2,1,http://irail.be/stations/NMBS/008813003,http://irail.be/stations/NMBS/008812005

P7009,2,1,http://irail.be/stations/NMBS/008892007,http://irail.be/stations/NMBS/008814001
P7009,2,1,http://irail.be/stations/NMBS/008814001,http://irail.be/stations/NMBS/008813003
P7009,2,1,http://irail.be/stations/NMBS/008813003,http://irail.be/stations/NMBS/008812005

IC507,2,1,http://irail.be/stations/NMBS/008892007,http://irail.be/stations/NMBS/008814001
IC507,2,1,http://irail.be/stations/NMBS/008814001,http://irail.be/stations/NMBS/008813003
IC507,2,1,http://irail.be/stations/NMBS/008813003,http://irail.be/stations/NMBS/008812005

IC4507,0,1,http://irail.be/stations/NMBS/008813003,http://irail.be/stations/NMBS/008812005
IC4507,0,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008822004
IC4507,0,1,http://irail.be/stations/NMBS/008822004,http://irail.be/stations/NMBS/008821121
IC4507,0,1,http://irail.be/stations/NMBS/008821121,http://irail.be/stations/NMBS/008821006

IC2906,0,1,http://irail.be/stations/NMBS/008821832,http://irail.be/stations/NMBS/008833209

P7305,1,1,http://irail.be/stations/NMBS/008833209,http://irail.be/stations/NMBS/008812005
